antecedents	consequents	antecedent support	consequent support	support	confidence	lift	leverage	conviction	zhangs_metric
frozenset({'Class_Eco'})	frozenset({'satisfaction_neutral or dissatisfied'})	0.449886433631044	0.5666673082845703	0.3661456729288574	0.8138624451813029	1.4362262182462016	0.11120973854940869	2.3280239827879288	0.552123914529946
frozenset({'Customer Type_Loyal Customer', 'Type of Travel_Business travel'})	frozenset({'satisfaction_satisfied'})	0.5085271019402525	0.43333269171542965	0.3587927317523868	0.7055528218327718	1.6282012304211508	0.13843131385837049	1.9245126131340866	0.7850388147443289
frozenset({'Type of Travel_Business travel', 'Age_adult'})	frozenset({'satisfaction_satisfied'})	0.6487238219895288	0.43333269171542965	0.3882814906067139	0.5985312662265411	1.3812280441088844	0.10716825064407015	1.4114855295414606	0.7857253308551579
frozenset({'Type of Travel_Business travel'})	frozenset({'satisfaction_satisfied'})	0.6896269633507853	0.43333269171542965	0.40177471512165075	0.5825971669806713	1.3444569914038793	0.10293680681331696	1.35760292805279	0.8254753418652716
frozenset({'Type of Travel_Business travel'})	frozenset({'Age_adult', 'satisfaction_satisfied'})	0.6896269633507853	0.4114374807514629	0.3882814906067139	0.5630311911241366	1.3684489563172464	0.10454311014738538	1.346921124101879	0.8674905303060001
frozenset({'Customer Type_Loyal Customer', 'Age_adult'})	frozenset({'satisfaction_satisfied'})	0.7079996920234062	0.43333269171542965	0.37154488758854326	0.5247811429503562	1.211035199935898	0.06474547531034547	1.192434390761925	0.5967807750130905
frozenset({'Type of Travel_Business travel'})	frozenset({'Customer Type_Loyal Customer', 'satisfaction_satisfied'})	0.6896269633507853	0.39010047736372033	0.3587927317523868	0.5202707417486567	1.3336839402623155	0.08976892414635257	1.2713410994764398	0.8061175907973058
frozenset({'Customer Type_Loyal Customer'})	frozenset({'satisfaction_satisfied'})	0.8173217585463505	0.43333269171542965	0.39010047736372033	0.4772911931985445	1.1014428459322947	0.035928239735241785	1.0840974954145204	0.5041649338719811
frozenset({'Age_adult'})	frozenset({'satisfaction_satisfied'})	0.875702571604558	0.43333269171542965	0.4114374807514629	0.46983701326533983	1.084240866770058	0.031966928255936	1.068854903988573	0.6250790028368117
frozenset({'Customer Type_Loyal Customer'})	frozenset({'Age_adult', 'satisfaction_satisfied'})	0.8173217585463505	0.4114374807514629	0.37154488758854326	0.4545882740835816	1.1048781293656247	0.035268082288877345	1.0791159985781664	0.5196174572516599
frozenset({'Age_adult'})	frozenset({'Type of Travel_Business travel', 'satisfaction_satisfied'})	0.875702571604558	0.40177471512165075	0.3882814906067139	0.44339425644858177	1.1035892497971886	0.03644633936899566	1.074773826553384	0.755170615939468
frozenset({'Customer Type_Loyal Customer'})	frozenset({'Type of Travel_Business travel', 'satisfaction_satisfied'})	0.8173217585463505	0.40177471512165075	0.3587927317523868	0.438985904878537	1.0926170521846288	0.03041351504970019	1.0663284400168764	0.464019420934374
frozenset({'Age_adult'})	frozenset({'Customer Type_Loyal Customer', 'satisfaction_satisfied'})	0.875702571604558	0.39010047736372033	0.37154488758854326	0.4242820560727121	1.0876224990545746	0.02993289637696772	1.0593720919584693	0.6481496768119577
